Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100001,1,1,1,1,1,7,8,10,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,2,2,10,1,1,1,1,1,1,1,1,1,1,1,1,8,7,1,1,1,1,1,1,1,1,1,1,7,8,9,8,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,1,1,1,1,10,7,7,9,,,,
19100002,1,1,1,1,1,5,5,6,6,3,1,1,1,1,1,2,3,3,3,2,2,1,1,1,1,7,4,2,2,1,1,1,1,1,1,3,3,3,2,2,2,1,6,4,1,1,3,4,1,1,1,1,1,1,6,6,5,4,2,5,1,1,1,1,1,1,3,3,2,3,3,2,1,1,5,6,1,1,3,3,10,7,9,8,,,,
19100003,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,7,7,7,9,4,4,2,5,7,2,1,1,1,2,1,1,1,2,2,3,6,7,10,6,6,4,3,1,1,1,1,9,8,3,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,2,1,7,5,5,8,8,7,3,3,1,1,1,1,8,8,7,6,8,7,,,,
19100004,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,6,6,6,5,2,2,3,5,1,1,1,1,2,1,1,1,1,2,1,6,6,6,4,7,2,1,1,1,1,1,6,7,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,6,7,4,7,5,4,2,2,1,1,1,1,6,6,8,7,8,8,,,,
19100005,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,10,9,9,6,1,2,6,1,1,1,2,4,2,1,1,1,1,1,1,8,10,9,3,3,1,1,2,1,1,2,9,10,1,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,10,10,9,10,4,7,1,1,2,1,1,1,9,10,8,9,8,8,,,,
19100006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,8,7,1,1,2,5,1,1,1,1,3,1,1,1,2,5,1,6,7,9,8,5,1,1,1,1,1,1,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9,8,6,9,8,5,1,1,1,1,1,1,9,9,4,6,9,9,,,,
19100007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,8,9,6,1,1,2,4,1,1,1,1,4,1,1,1,1,3,1,5,7,10,10,10,1,1,1,1,1,1,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,4,7,10,6,1,1,1,1,1,1,9,9,1,5,8,8,,,,
19100008,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,10,10,8,10,4,1,1,2,4,1,3,1,2,2,1,1,1,1,1,1,8,10,10,5,6,1,1,3,1,1,1,10,9,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,10,8,7,10,8,10,1,1,2,2,1,1,10,10,9,7,9,8,,,,
19100009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,10,10,10,5,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,6,8,10,8,9,1,1,1,1,1,1,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,6,9,9,6,1,1,1,1,1,1,10,10,1,4,5,8,,,,
19100010,6,5,5,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,6,2,2,1,1,1,2,6,6,5,4,2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,2,1,1,1,1,8,7,8,9,,,,
19100011,1,1,1,1,1,3,3,5,5,3,1,1,1,1,1,3,4,4,4,2,1,1,1,1,1,4,5,3,2,1,1,1,1,1,1,5,5,2,1,1,1,1,5,2,1,1,3,5,1,1,1,1,1,1,3,3,4,6,3,3,1,1,1,1,1,1,5,5,5,4,1,3,1,1,4,4,1,1,4,4,9,7,8,8,,,,
19100012,3,3,3,3,1,4,4,5,4,2,1,1,1,1,1,1,2,1,1,1,3,2,2,2,1,5,4,3,2,2,1,1,1,1,1,1,2,1,1,1,3,3,5,3,1,1,1,1,3,3,3,2,1,3,4,4,4,4,3,4,1,1,1,1,1,1,2,2,1,2,1,1,3,3,4,4,1,1,1,2,8,7,4,9,,,,
19100013,1,1,1,1,1,2,3,3,3,1,1,1,1,1,1,5,7,7,6,4,1,1,3,2,1,3,3,4,4,1,1,1,1,1,1,5,7,5,2,2,1,1,4,1,1,1,6,7,1,1,1,1,1,1,2,2,3,4,2,2,1,1,1,1,1,1,7,8,6,7,4,5,1,1,3,3,1,1,6,7,9,8,7,8,,,,
19100014,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,7,8,7,7,1,1,3,5,1,1,2,4,2,1,1,1,1,1,1,8,9,6,2,2,1,1,2,1,1,1,7,7,1,1,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,1,7,7,7,9,5,5,1,1,2,1,1,1,8,8,5,7,10,8,,,,
19100015,1,1,1,1,1,5,5,6,7,4,1,1,1,1,1,2,3,3,3,2,1,1,2,2,1,5,6,10,10,3,1,1,1,1,1,3,4,2,1,1,1,1,7,3,1,1,3,3,1,1,1,2,2,1,5,4,5,7,10,5,1,1,1,1,1,1,3,3,3,3,2,2,1,1,7,6,1,1,3,3,6,8,10,9,,,,
19100016,1,1,1,1,1,7,7,8,8,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,6,8,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,9,4,1,2,1,2,1,1,1,1,1,1,7,6,8,8,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,1,1,1,9,8,8,7,,,,
19100017,1,1,1,1,1,6,7,9,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,9,4,1,1,1,1,1,1,1,1,1,1,6,7,8,9,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,1,1,1,7,7,9,6,,,,
19100018,4,5,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,3,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,3,2,1,1,1,1,5,5,4,4,2,4,2,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,2,1,1,1,1,8,8,9,8,,,,
19100019,2,2,2,2,1,10,10,10,10,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,10,6,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,9,10,1,5,1,1,2,2,2,2,1,2,10,10,10,6,2,10,2,2,1,1,1,2,1,1,1,1,1,1,2,2,10,10,1,2,1,1,7,7,6,7,,,,
19100020,3,4,3,3,2,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,3,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,5,1,1,1,1,3,3,3,3,2,3,5,5,5,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,1,1,1,1,4,7,8,5,,,,
19100021,1,1,2,1,1,3,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,4,4,1,4,4,5,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,6,7,5,6,,,,
19100022,1,1,1,1,1,5,6,7,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1,3,1,1,1,1,1,1,1,1,7,7,6,5,2,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,7,7,7,,,,
19100023,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,2,3,5,3,5,1,1,2,1,2,4,5,3,3,1,1,1,1,1,1,4,4,3,2,1,1,1,5,2,1,1,3,3,1,1,1,1,2,1,3,3,4,5,3,3,1,1,1,1,1,1,3,4,3,4,4,2,1,1,4,4,1,1,4,4,3,6,8,7,,,,
19100024,1,1,1,1,1,5,5,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,6,6,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1,1,1,1,2,1,5,5,6,7,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,7,8,5,,,,
19100025,1,1,1,1,1,5,5,7,6,5,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,7,5,2,2,2,5,4,3,4,3,1,1,1,1,1,1,1,6,5,4,6,1,1,1,1,1,1,1,1,6,7,6,6,2,5,4,4,4,3,4,4,1,1,1,1,1,1,1,1,6,6,4,4,1,1,5,6,7,8,,,,
19100026,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,4,6,7,6,6,1,1,2,1,1,2,3,3,2,1,1,2,2,1,1,10,8,3,1,2,1,1,3,1,2,1,6,8,1,1,1,1,1,1,1,1,2,4,3,2,1,1,1,2,1,2,7,7,9,7,2,4,1,1,2,2,1,1,7,7,7,8,9,7,,,,
19100027,1,1,1,1,1,2,2,3,3,2,2,1,1,1,1,5,7,9,8,7,1,1,3,1,1,2,3,4,2,1,1,1,2,2,1,10,10,5,2,3,1,1,3,2,1,1,7,10,1,1,1,1,1,1,2,2,2,3,3,2,1,1,1,1,1,2,8,8,10,8,3,5,1,1,3,2,1,1,8,9,7,7,9,8,,,,
19100028,1,1,1,1,1,4,5,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,2,1,1,1,1,1,1,1,1,5,6,6,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,1,6,6,6,5,,,,
19100029,1,1,1,1,1,4,5,6,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,5,6,6,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,1,8,6,5,7,,,,
19100030,1,1,1,1,1,4,4,5,5,5,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,5,5,2,2,1,1,1,1,1,1,6,2,1,1,1,1,1,5,4,1,1,2,5,1,1,1,1,1,1,5,5,5,5,2,4,1,1,1,1,1,1,3,4,4,1,1,2,1,1,5,5,1,1,2,3,10,7,7,7,,,,
19100031,1,1,1,1,1,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,2,1,5,5,5,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,6,6,7,1,,,,
19100032,1,1,1,1,1,5,5,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,1,1,1,1,1,1,1,7,7,6,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,7,6,8,10,,,,
19100033,10,10,10,10,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,10,8,10,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,2,2,1,1,1,1,10,10,10,10,8,10,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,10,10,2,2,1,1,1,1,6,7,8,10,,,,
19100034,6,6,6,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,6,6,6,5,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,1,1,1,5,7,1,1,,,,
19100035,5,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,1,1,1,1,1,5,5,6,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,6,7,1,10,,,,
19100036,5,6,6,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1,1,6,6,5,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,1,1,1,5,6,1,1,,,,
19100037,3,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,4,4,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,4,7,1,1,,,,
19100038,4,5,5,4,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,1,4,5,5,6,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,2,1,1,10,,,,
19100039,3,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,4,1,1,1,,,,
19100040,4,4,4,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,4,5,5,6,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,5,4,10,1,,,,
19100041,3,4,3,4,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,3,4,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,2,2,1,10,,,,
19100042,2,3,3,4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,3,3,4,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,5,1,1,,,,
19100043,4,3,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,3,2,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,1,1,1,1,4,4,4,3,2,4,2,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,1,1,1,1,7,6,10,10,,,,
19100044,2,2,2,2,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,2,2,2,2,2,2,3,4,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,5,6,4,7,,,,
19100045,1,1,1,1,1,6,6,7,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,1,1,1,1,1,1,1,1,1,1,7,9,7,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,1,1,1,1,3,5,7,10,,,,
19100046,1,1,1,1,1,4,4,5,6,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,5,3,2,1,1,1,2,1,1,1,1,1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,4,5,6,7,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,1,1,1,5,7,9,9,,,,
19100047,1,1,1,1,1,7,7,8,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,4,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,7,9,8,6,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,1,1,1,8,6,8,7,,,,
